title,year,rating
The Birth of a Nation,1915,3.3
Intolerance: Love's Struggle Throughout the Ages,1916,3.8
Broken Blossoms or The Yellow Man and the Girl,1919,3.7
Das Cabinet des Dr. Caligari.,1920,4.1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,4.1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,4.1
"Nosferatu, eine Symphonie des Grauens",1922,3.9
Häxan,1922,3.8
Nanook of the North,1922,3.7
Der letzte Mann,1924,4.1
The Thief of Bagdad,1924,3.6
The Thief of Bagdad,1924,3.6
The Thief of Bagdad,1924,3.6
The Gold Rush,1925,4.1
Bronenosets Potyomkin,1925,4.0
The Phantom of the Opera,1925,3.7
The General,1926,4.4
The General,1926,4.4
The General,1926,4.4
Battling Butler,1926,3.7
Sunrise: A Song of Two Humans,1927,4.4
Metropolis,1927,4.1
Metropolis,1927,4.1
Berlin: Die Sinfonie der Grosstadt,1927,3.9
It,1927,3.7
La passion de Jeanne d'Arc,1928,4.4
The Circus,1928,4.1
Oktyabr,1928,4.0
Un chien andalou,1929,4.1
Die Büchse der Pandora,1929,4.1
Die Büchse der Pandora,1929,4.1
Chelovek s kino-apparatom,1929,4.1
The Cocoanuts,1929,3.6
Blackmail,1929,3.4
The Manxman,1929,3.1
The Broadway Melody,1929,2.9
Der blaue Engel,1930,4.0
L'âge d'or,1930,4.0
Le sang d'un poète,1930,3.9
All Quiet on the Western Front,1930,3.8
All Quiet on the Western Front,1930,3.8
The Bat Whispers,1930,3.4
City Lights,1931,4.3
City Lights,1931,4.3
M,1931,4.3
The Public Enemy,1931,3.9
Tabu: A Story of the South Seas,1931,3.8
À nous la liberté,1931,3.7
Dracula,1931,3.6
Little Caesar,1931,3.6
Frankenstein,1931,3.6
Dracula,1931,3.6
Dracula,1931,3.6
Frankenstein,1931,3.6
The Skin Game,1931,2.7
Trouble in Paradise,1932,4.2
Freaks,1932,4.0
Horse Feathers,1932,3.9
Grand Hotel,1932,3.8
Duck Soup,1933,4.1
The Invisible Man,1933,3.7
42nd Street,1933,3.5
Cavalcade,1933,3.0
L'atalante,1934,4.3
The Thin Man,1934,4.2
It Happened One Night,1934,4.1
Manhattan Melodrama,1934,3.7
Twentieth Century,1934,3.7
Babes in Toyland,1934,3.6
Babes in Toyland,1934,3.6
Man of Aran,1934,3.6
A Night at the Opera,1935,4.1
Top Hat,1935,4.0
The 39 Steps,1935,3.8
Mutiny on the Bounty,1935,3.7
Mutiny on the Bounty,1935,3.7
Bride of Frankenstein,1935,3.7
Alice Adams,1935,3.6
Barbary Coast,1935,3.1
Modern Times,1936,4.2
Modern Times,1936,4.2
My Man Godfrey,1936,4.1
My Man Godfrey,1936,4.1
Dodsworth,1936,4.0
Camille,1936,3.9
Sabotage,1936,3.5
The Great Ziegfeld,1936,3.4
Things to Come,1936,3.3
Come and Get It,1936,3.1
Tell Your Children,1936,3.0
La grande illusion,1937,4.3
The Awful Truth,1937,4.0
Pépé le Moko,1937,3.8
Drôle de drame ou L'étrange aventure du Docteur Molyneux,1937,3.8
The Good Earth,1937,3.7
The Life of Emile Zola,1937,3.6
A Damsel in Distress,1937,3.5
Young and Innocent,1937,3.4
Le quai des brumes,1938,4.1
La bête humaine,1938,4.0
Aleksandr Nevskiy,1938,4.0
The Lady Vanishes,1938,4.0
Bringing Up Baby,1938,4.0
You Can't Take It with You,1938,4.0
Pygmalion,1938,3.7
The Adventures of Robin Hood,1938,3.7
The Adventures of Robin Hood,1938,3.7
La règle du jeu,1939,4.3
Ninotchka,1939,4.1
Young Mr. Lincoln,1939,3.9
Dark Victory,1939,3.9
Wuthering Heights,1939,3.9
Gone with the Wind,1939,3.9
Wuthering Heights,1939,3.9
Wuthering Heights,1939,3.9
Only Angels Have Wings,1939,3.8
Gunga Din,1939,3.7
The Wizard of Oz,1939,3.6
Mr. Smith Goes to Washington,1939,3.6
Jamaica Inn,1939,3.0
The Great Dictator,1940,4.2
The Philadelphia Story,1940,4.1
The Shop Around the Corner,1940,4.1
Waterloo Bridge,1940,4.0
Christmas in July,1940,4.0
My Favorite Wife,1940,3.9
The Grapes of Wrath,1940,3.8
Foreign Correspondent,1940,3.7
Fantasia,1940,3.5
Pinocchio,1940,3.3
Pinocchio,1940,3.3
Sullivan's Travels,1941,4.2
Sullivan's Travels,1941,4.2
The Lady Eve,1941,4.1
Ball of Fire,1941,4.1
Citizen Kane,1941,4.1
The Maltese Falcon,1941,4.0
Sergeant York,1941,4.0
The Maltese Falcon,1941,4.0
How Green Was My Valley,1941,3.9
The Wolf Man,1941,3.7
Penny Serenade,1941,3.7
Johnny Eager,1941,3.7
Dumbo,1941,3.3
To Be or Not to Be,1942,4.2
To Be or Not to Be,1942,4.2
The Magnificent Ambersons,1942,4.1
The Major and the Minor,1942,4.0
Casablanca,1942,4.0
Holiday Inn,1942,4.0
Mrs. Miniver,1942,3.9
The Palm Beach Story,1942,3.9
The Pride of the Yankees,1942,3.9
The Man Who Came to Dinner,1942,3.9
The Talk of the Town,1942,3.8
Yankee Doodle Dandy,1942,3.8
I Married a Witch,1942,3.7
My Sister Eileen,1942,3.7
This Gun for Hire,1942,3.7
Saboteur,1942,3.6
Bambi,1942,3.4
Vredens dag,1943,4.2
The Life and Death of Colonel Blimp,1943,4.2
Shadow of a Doubt,1943,4.0
Le corbeau,1943,4.0
Ossessione,1943,3.9
The More the Merrier,1943,3.9
I Walked with a Zombie,1943,3.7
The Seventh Victim,1943,3.6
Lady of Burlesque,1943,3.2
Double Indemnity,1944,4.2
Ivan Groznyy,1944,4.1
To Have and Have Not,1944,4.1
Gaslight,1944,4.0
Arsenic and Old Lace,1944,4.0
The Miracle of Morgan's Creek,1944,3.9
Lifeboat,1944,3.8
Going My Way,1944,3.8
Meet Me in St. Louis,1944,3.8
Hets,1944,3.8
The Three Caballeros,1944,3.3
Les enfants du paradis,1945,4.4
Brief Encounter,1945,4.2
"Roma, città aperta",1945,4.2
Mildred Pierce,1945,4.1
The Lost Weekend,1945,4.0
Spellbound,1945,3.8
Les dames du Bois de Boulogne,1945,3.8
Leave Her to Heaven,1945,3.8
Spellbound,1945,3.8
Detour,1945,3.7
The Bells of St. Mary's,1945,3.7
Story of G.I. Joe,1945,3.5
House of Dracula,1945,3.1
A Matter of Life and Death,1946,4.4
The Best Years of Our Lives,1946,4.2
The Big Sleep,1946,4.1
The Big Sleep,1946,4.1
It's a Wonderful Life,1946,4.0
My Darling Clementine,1946,3.8
My Darling Clementine,1946,3.8
Green for Danger,1946,3.8
Song of the South,1946,3.6
The Strange Love of Martha Ivers,1946,3.5
Bedlam,1946,3.3
Make Mine Music,1946,3.1
Out of the Past,1947,4.2
Black Narcissus,1947,4.1
Body and Soul,1947,4.0
Odd Man Out,1947,4.0
Monsieur Verdoux,1947,4.0
Nightmare Alley,1947,3.9
Quai des Orfèvres,1947,3.9
Gentleman's Agreement,1947,3.8
The Bishop's Wife,1947,3.8
The Bachelor and the Bobby-Soxer,1947,3.7
Subarashiki nichiyôbi,1947,3.7
Miracle on 34th Street,1947,3.5
Miracle on 34th Street,1947,3.5
Crossfire,1947,3.5
Fun & Fancy Free,1947,3.4
The Sin of Harold Diddlebock,1947,3.3
The Paradine Case,1947,3.2
Ladri di biciclette,1948,4.3
The Red Shoes,1948,4.2
The Treasure of the Sierra Madre,1948,4.1
Yoidore tenshi,1948,4.0
The Fallen Idol,1948,4.0
Rope,1948,4.0
I Remember Mama,1948,4.0
Unfaithfully Yours,1948,3.9
Easter Parade,1948,3.8
The Naked City,1948,3.8
Bud Abbott Lou Costello Meet Frankenstein,1948,3.8
Act of Violence,1948,3.8
Force of Evil,1948,3.7
A Foreign Affair,1948,3.7
A Foreign Affair,1948,3.7
"Sorry, Wrong Number",1948,3.6
Call Northside 777,1948,3.5
Louisiana Story,1948,3.4
Melody Time,1948,3.2
The Third Man,1949,4.3
Banshun,1949,4.3
Kind Hearts and Coronets,1949,4.3
White Heat,1949,4.2
Jour de fête,1949,4.0
Adam's Rib,1949,3.9
In the Good Old Summertime,1949,3.8
A Letter to Three Wives,1949,3.8
I Was a Male War Bride,1949,3.6
The Adventures of Ichabod and Mr. Toad,1949,3.4
Under Capricorn,1949,3.0
Los olvidados,1950,4.4
Sunset Blvd.,1950,4.3
Sunset Blvd.,1950,4.3
Orphée,1950,4.2
All About Eve,1950,4.2
In a Lonely Place,1950,4.0
"Francesco, giullare di Dio",1950,3.9
Born Yesterday,1950,3.9
Born Yesterday,1950,3.9
Les enfants terribles,1950,3.8
Cyrano de Bergerac,1950,3.8
Winchester '73,1950,3.8
Deadly Is the Female,1950,3.8
Where the Sidewalk Ends,1950,3.7
Luci del varietà,1950,3.6
Shûbun,1950,3.6
Cinderella,1950,3.5
Panic in the Streets,1950,3.5
Cinderella,1950,3.5
Stage Fright,1950,3.4
The Browning Version,1951,4.3
